key,es,en,zh,jp
MORE_PROFITS,Mas Ganancias,More profits,更多利润,もっと利益
MORE_PROFITS_DESC,¡Cobra más por tu trabajo!,Charge more for your work!,为您的工作收取更多费用！,パンチャの仕事に対してもっと高い料金を請求できます！
CATO,Gato,Cat,猫,猫
CATO_DESC,¡Un gato siempre atrae más clientes!,A cat always attracts more customers!,一只猫总是能吸引更多的顾客！,猫はいつももっと多くの顧客を引き付けます！
SPEED_UP,Mas rapido,SPEED UP,速度更快,速度を上げる
SPEED_UP_DESC,Pancha tomó café colombiano,Pancha drank Colombian coffee,Pancha 喝哥伦比亚咖啡,パンチャはコロンビアコーヒーを飲みました
RECYCLE,"Ganancia por
reciclaje",Recycle Profit,回收利润,リサイクル利益
RECYCLE_DESC,Al final del dia gana mas por minerales no usados,At the end of the day you earn more for unused minerals,在一天结束时， 您可以通过未使用的矿物赚取更多收入,一日の終わりには、未使用のミネラルでより多くの収入が得られます
CONTRACT,"Escrituras 
de la tienda",Shop Ownership,店铺所有权,ショップの所有権
CONTRACT_DESC,Cumple el sueño de Pancha (El juego acabará),Fullfill Pancha's Dream (the game will end),实现Pancha的梦想（游戏即将结束）,パンチャの夢を叶える (ゲームは終了します)
TUTORIAL,Tutorial,Tutorial,教程,チュートリアル
PAUSED,PAUSADO,PAUSED,暂停,ポーズ
CREDITS_DEVELOPED_BY,Desarrollado por,Developed By,游戏开发由  ,開発
LANGUAGE,Lenguaje,Language,语言,言語
LIKE_GAME?,¿Te gusta nuestro juego?,Do you like our game?,你喜欢我们的游戏吗？,私たちのゲームはお好きですか？
RATE_US,"Si deseas apoyarnos puedes comprarnos un cafe al donarnos
 
O Tambien puedes calificar o comentar nuestros juegos. ","If you want to support us, you can buy us a coffee through donations.
Or you could also rate or comment our games.","如果您想支持我们， 可以通过捐款给我们买一杯咖啡。 
或者您也可以评价或评论我们的游戏。","私たちをサポートしたい場合は、 寄付を通じて私たちにコーヒーを買うことができます。
または、 ゲームを評価したりコメントしたりすることもできます。"
SOCIAL_MEDIA,Si te gusta comer gemas siguenos: @theyippiesdev,If you like to eat gems follow us: @theyippiesdev,如果你喜欢吃宝石， 请关注我们:  @theyippiesdev,貴重な宝石を食べるのが好きなら、 私たちをフォローしてください: @theyippiesdev
DAY_FINISHED,DIA COMPLETADO,DAY COMPLETED,一天结束,一日が終わりました
SAVINGS,Ahorros,Savings,储蓄,貯蓄
DAY_PROFITS,Ganancia dia,Day profit,当天的利润,その日の利益
BONUS_PROFITS,Ganancia Bono,Bonus profit,奖金利润,ボーナス利益
RECYCLE_PROFITS,Ganancia Reciclaje de minerales,Mineral recycling profit,矿物回收利润,鉱物リサイクル利益
RENT,Renta,Rent,租,レンタル
TOTAL,Total,Total,账单总额,請求書の合計
SIGN_BILL,Firmar factura,Sign Bill,签署发票,請求書に署名する
CREDITS,CREDITOS,CREDITS,制作人员,クレジット
PROGRAMMERS,PROGAMADORES,PROGRAMMERS,程序员,プログラマー
ARTISTS,ARTISTAS,ARTISTS,艺术家,アーティスト
MISSION_TEXT,Recoge 20 de Carbon,Collect 20 Coal,收集 20 块煤炭,石炭を 20 個集めます
CONGRATS,¡FELICIDADES!,CONGRATULATIONS!,恭喜！,おめでとう！
WARNING,¡ADVERTENCIA!,WARNING!,警告性的！,警告
WARNING_DESC,"Comprar esta mejora finalizara el juego 

¿Estas seguro?","Buying this upgrade will end the game. 

Are you sure?","购买此升级将结束游戏。

你确定吗？","このアップグレードを購入するとゲームが終了します。

よろしいですか？"
YES,SI,YES,是的,はい
NO,NO,NO,不,ノー
DEVELOPED_BY,Desarrollado por,Developed by,由开发,によって開発されました
PROGRAMMERS,Programadores,Programmers,程序员,プログラマー
ARTISTS,Artistas,Artists,艺术家,アーティスト
MUSIC,Musica,Music,音乐,ミュージック
SFX,SFX,SFX,音效,効果音
SUPPORT,Agradecimientos Especiales:,Special Thanks,特别感谢,スペシャルサンクス
ASSETS,Recursos,Assets,资产,資産
THANKS_FOR_PLAYING,Gracias por jugar,Thanks for Playing,感谢您玩,遊んでくれてありがとう
ACHIEVEMENT_UNLOCKED,Logro Desbloqueado,Achievement Unlocked,成就已解锁,実績がロック解除されました
PRIMERA_CHAMBA,Primera Chamba,Primera Chamba,Primera Chamba,Primera Chamba
PRIMERA_CHAMBA_DESC,Completa el tutorial,Complete the tutorial,,チュートリアルを完了する
TUTORIAL_COMPLETO,Listo para la inflacion,Ready to face inflation,我已准备好面对通货膨胀,インフレに直面する準備ができている
ADOPTAR_GATO,Fat Cat Fest,Fat Cat Fest,Fat Cat Fest,Fat Cat Fest
JUEGO_COMPLETO,El sueño de Pancha,Pancha's Dream,潘查的梦想,パンチャの夢
DIA_10,Dia 10,Day 10,第 10 天,10日目
DIA_17,¿Estás bien?,Are you ok?,你好吗？,大丈夫?
ALL_RECIPES,Maestro de gemas,Gem Master,宝石大师,マスタージェム
NO_UPGRADES,Contra el sistema,Against the system,对抗系统,システムに反対
DELIVER_IN_TIME,Por favor no te vayas,Please Don't Go,请不要走,行かないでください
JUST_ONE_MORE,Solo uno mas,Just one more,只需要再送一单,あと 1 つだけ配信
ALL_MINERALS,Campeon del taladro,Drilling Champion,钻井冠军,ドリリングチャンピオン
ANTICAPITALIST,Anticapitalista,Anticapitalist,反资本家,反資本主義者
TUTORIAL_COMPLETO_DESC,Pierde por primera vez :(,Lose for the first time :(,第一次输:(,最初输:(
ADOPTAR_GATO_DESC,Adopta un gato,Adopt a cat,领养一只猫,领养一只猫
JUEGO_COMPLETO_DESC,Completa el juego,Complete the game,完成游戏,完了游戏
DIA_10_DESC,Sobrevive hasta el dia 10,Survive Until Day 10,生存到第 10 天,生存まで第10天
DIA_17_DESC,Sobrevive hasta el dia 17,Survive  until day 17,存活到第 17 天,第17天まで生存
ALL_RECIPES_DESC,Has todas las recetas del juego,Make all the recipes in the game,制作游戏中的所有食谱,制作中のすべての食谱
NO_UPGRADES_DESC,Llega al dia 7 sin ninguna mejora,Reach day 7 without any upgrade,在没有任何升级的情况下到达第 7 天,いかなる升級も無い状況下で达第7天まで
DELIVER_IN_TIME_:DESC,Entrega una receta justo a tiempo,Deliver a recipe just in time,及时提供食谱,及び時間提供食谱
JUST_ONE_MORE_:DESC,Entrega una receta un minuto antes de que cierre la tienda,Deliver a recipe oneminute before the shop closes,商店关门前一分钟提供食谱,商店关门前一分钟提供食谱
ALL_MINERALS_DESC,Recolecta todos lo minerales del día,Collect al the minerals of the day,收集当天的所有矿物质,当天のすべての物品を収集
ANTICAPITALIST_DESC,Completa un dia con exito sin vender ninguna receta,Successfully complete a day without selling any recipe,成功完成一天而不出售任何食谱,いかなる食谱も出さずに一日間成功する
LOGIN,Inicia sesion,Log in,登录,登录
USERNAME,Nombre de usuario,Username,用户名,用户名
